XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
"48","400290","中国近现代史纲要01班","2025202620000004101","思政课","3","","161","1-16周","2","王建华,林棵","周四 9-11节 1-16周 逸A-117","3","马克思主义学院","是","理论+实践课程","周四","2025-2026-2","","2025202620000004101","2024文学院汉语言文学（古文字学方向）（强基计划）,2024文学院戏剧影视文学,2024文学院汉语言文学,2024哲学学院哲学（强基计划）,2024哲学学院哲学（拔尖计划）,2024哲学学院哲学,2024文学院汉语言文学（拔尖计划）","","仙林校区","2025-2026学年 第2学期","01","逸A-117","","","","5","32","00","16","1","中国近现代史纲要","15","第9节-第11节","逸夫楼A区","00000041"
"48","400290","中国近现代史纲要02班","2025202620000004102","思政课","3","","127","1-16周","2","聂平平","周二 9-11节 1-16周 仙Ⅱ-303","3","马克思主义学院","是","理论+实践课程","周二","2025-2026-2","","2025202620000004102","2024社会学院社会学,2024社会学院应用心理学,2024社会学院社会工作,2024政府管理学院劳动与社会保障,2024政府管理学院行政管理,2024政府管理学院政治学与行政学","0","仙林校区","2025-2026学年 第2学期","02","仙Ⅱ-303","","否","","5","32","00","16","1","中国近现代史纲要","12","第9节-第11节","仙II区","00000041"
"48","400290","中国近现代史纲要03班","2025202620000004103","思政课","3","","140","1-16周","2","倪春纳","周四 9-11节 1-16周 逸B-101","3","马克思主义学院","是","理论+实践课程","周四","2025-2026-2","","2025202620000004103","2024外国语学院德语（德语法学实验班）,2024法学院法学（涉外型卓越法律人才实验班）,2024法学院法学,2024外国语学院德语","0","仙林校区","2025-2026学年 第2学期","03","逸B-101","","否","","5","32","00","16","1","中国近现代史纲要","16","第9节-第11节","逸夫楼B区","00000041"
"48","400290","中国近现代史纲要04班","2025202620000004104","思政课","3","","141","1-16周","2","许良","周二 9-11节 1-16周 逸B-105","3","马克思主义学院","是","理论+实践课程","周二","2025-2026-2","","2025202620000004104","2024国际关系学院国际政治,2024商学院会计学,2024商学院工商管理,2024商学院工商管理（人力资源管理方向）,2024商学院市场营销,2024商学院电子商务,2024商学院财务管理","0","仙林校区","2025-2026学年 第2学期","04","逸B-105","","否","","5","32","00","16","1","中国近现代史纲要","16","第9节-第11节","逸夫楼B区","00000041"
"48","400290","中国近现代史纲要-24集电","2025202620000004105","思政课","4","","169","1-16周","2","熊秋良","周四 2-4节 1-16周 苏教C202","3","马克思主义学院","是","理论+实践课程","周四","2025-2026-2","","2025202620000004105","2024集成电路学院集成电路设计与集成系统","0","苏州校区","2025-2026学年 第2学期","05","苏教C202","","否","","5","32","00","16","1","中国近现代史纲要","S01","第2节-第4节","公共教学楼","00000041"
"48","400290","中国近现代史纲要06班","2025202620000004106","思政课","1","","184","1-16周","2","吴盛杰","周一 9-11节 1-16周 馆3-101","3","马克思主义学院","是","理论+实践课程","周一","2025-2026-2","","2025202620000004106","2024建筑与城市规划学院建筑类（建筑与规划实验班）,2024软件学院软件工程","0","鼓楼校区","2025-2026学年 第2学期","06","馆3-101","","否","","5","32","00","16","1","中国近现代史纲要","8","第9节-第11节","逸夫馆","00000041"
"48","400290","中国近现代史纲要--24南赫","2025202620000004107","思政课","4","","92","1-16周","2","游海华","周四 9-11节 1-16周 苏教B101","3","马克思主义学院","是","理论+实践课程","周四","2025-2026-2","","2025202620000004107","2024南京赫尔辛基大气与地球系统科学学院大气科学（中外合作办学）","0","苏州校区","2025-2026学年 第2学期","07","苏教B101","","否","","5","32","00","16","1","中国近现代史纲要","S01","第9节-第11节","公共教学楼","00000041"
"48","400290","中国近现代史纲要08班","2025202620000004108","思政课","3","","160","1-16周","2","周瑞瑞","周一 2-4节 1-16周 逸B-212","3","马克思主义学院","是","理论+实践课程","周一","2025-2026-2","","2025202620000004108","2024外国语学院俄语,2024外国语学院英语,2024外国语学院朝鲜语,2024外国语学院法语,2024外国语学院西班牙语,2024外国语学院日语","0","仙林校区","2025-2026学年 第2学期","08","逸B-212","","否","","5","32","00","16","1","中国近现代史纲要","16","第2节-第4节","逸夫楼B区","00000041"
"48","400290","中国近现代史纲要09班","2025202620000004109","思政课","3","","42","1-16周","2","杨丹伟","周一 9-11节 1-16周 仙Ⅰ-101","3","马克思主义学院","是","理论+实践课程","周一","2025-2026-2","","2025202620000004109","2024历史学院历史学,2024历史学院历史学（强基计划）,2024历史学院考古学,2024历史学院历史学（拔尖计划）","0","仙林校区","2025-2026学年 第2学期","09","仙Ⅰ-101","","否","","5","32","00","16","1","中国近现代史纲要","11","第9节-第11节","仙I区","00000041"
"48","400290","中国近现代史纲要10班","2025202620000004110","思政课","3","","137","1-16周","2","谢任","周四 9-11节 1-16周 逸B-105","3","马克思主义学院","是","理论+实践课程","周四","2025-2026-2","","2025202620000004110","2024商学院金融学,2024商学院经济学,2024商学院财政学,2024商学院经济学（产业经济方向）,2024商学院金融工程,2024商学院国际经济与贸易,2024商学院经济学（拔尖计划）,2024商学院保险学","0","仙林校区","2025-2026学年 第2学期","10","逸B-105","","否","","5","32","00","16","1","中国近现代史纲要","16","第9节-第11节","逸夫楼B区","00000041"
